id_pub,name_pub,phone_pub,address_pub,covers
1,EYERIS,(836) 481-3834,396-Dorset Street-Galesville-District Of Columbia-1473,22
2,VOIPA,(910) 563-2326,529-Williams Court-Lookingglass-Puerto Rico-465,34
3,PLASMOX,(836) 531-2055,509-Cheever Place-Independence-Washington-226,26
4,ZENTILITY,(947) 441-3645,313-Ryder Street-Rushford-South Carolina-3118,27
5,SPLINX,(953) 505-3220,343-Navy Street-Leming-Nebraska-9064,50
6,SYNTAC,(982) 413-2032,752-Cypress Avenue-Lumberton-Alabama-6612,10
7,EQUICOM,(883) 578-3943,711-Halleck Street-Hiwasse-Delaware-9727,44
8,XYMONK,(836) 474-3394,658-Rodney Street-Ellerslie-Missouri-9775,15
9,ROCKYARD,(893) 444-3454,156-Bushwick Avenue-Leola-Oklahoma-9979,21
10,ATGEN,(938) 515-2860,915-Seacoast Terrace-Yonah-South Dakota-1829,42
11,GLASSTEP,(911) 492-2067,352-Amber Street-Richville-Texas-8400,33
12,MIRACULA,(806) 549-3881,345-Kansas Place-Goldfield-Virgin Islands-7430,21
13,ZEDALIS,(985) 513-2164,378-Lenox Road-Emory-Tennessee-7050,14
14,KIOSK,(993) 470-3551,614-Bragg Street-Warsaw-Massachusetts-9205,18
15,RUGSTARS,(815) 409-2595,583-Lyme Avenue-Summertown-Marshall Islands-8694,36
16,GEEKY,(962) 549-2445,382-Norwood Avenue-Ogema-West Virginia-4021,27
17,BLEEKO,(972) 537-3387,214-Alton Place-Cashtown-Maryland-2569,42
18,SPHERIX,(931) 455-2283,263-Duffield Street-Bridgetown-Guam-9548,44
19,CENTURIA,(875) 489-2891,346-Bragg Court-Osage-Arizona-6900,45
20,MACRONAUT,(862) 450-2533,950-Boerum Street-Harborton-Illinois-9653,19
21,UNEEQ,(865) 585-2926,997-Highland Avenue-Leroy-Idaho-4284,13
22,INSURON,(824) 425-2865,647-Quay Street-Libertytown-Vermont-7894,15
23,ZILPHUR,(857) 502-2577,789-Hemlock Street-Gasquet-Wisconsin-9976,18
24,HATOLOGY,(810) 487-3321,721-Plymouth Street-Brady-Kansas-8844,36
25,CINESANCT,(818) 575-3979,985-Noll Street-Elliston-New Mexico-2698,33
26,GAZAK,(889) 523-2894,350-Story Street-Harold-Mississippi-824,19
27,MEDESIGN,(875) 450-2487,995-Linden Street-Edneyville-Hawaii-9774,31
28,PIVITOL,(827) 590-2686,176-Pulaski Street-Urbana-Palau-8471,26
29,SNOWPOKE,(805) 550-3698,716-Verona Place-Bowie-American Samoa-4713,47
30,ISOTERNIA,(948) 530-3945,527-Garden Place-Bedias-Northern Mariana Islands-1101,24
31,NETERIA,(882) 462-3757,278-Driggs Avenue-Norfolk-Wyoming-3267,17
32,FUTURIZE,(896) 455-2990,624-Stoddard Place-Kipp-Minnesota-3289,21
33,DOGNOST,(826) 577-3390,971-Bowne Street-Twilight-Florida-7415,13
34,MAINELAND,(876) 448-3488,385-Monument Walk-Falconaire-Iowa-5446,30
35,REALYSIS,(895) 592-3986,754-Ira Court-Tyhee-Michigan-5188,50
36,ENOMEN,(867) 581-2090,617-Will Place-Gratton-Ohio-6235,19
37,FILODYNE,(832) 521-3286,327-Judge Street-Faxon-North Carolina-5023,25
38,SENMAO,(820) 411-2651,592-Schweikerts Walk-Delshire-Maine-2591,17
39,INSURITY,(886) 514-2216,566-Highland Place-Axis-Oregon-7960,50
40,PERKLE,(828) 484-2312,637-Brighton Avenue-Kaka-Arkansas-2745,42
41,PRIMORDIA,(920) 460-2967,367-Centre Street-Lisco-Kentucky-3032,48
42,APPLIDECK,(823) 484-2081,417-Pilling Street-Convent-Alaska-8490,24
43,MAGMINA,(879) 480-3420,973-Oxford Walk-Lupton-Utah-3503,47
44,ROCKABYE,(906) 502-2023,253-Hampton Avenue-Camptown-Indiana-1675,32
45,FARMEX,(944) 451-3363,341-Beadel Street-Sunbury-New Hampshire-2674,15
46,BICOL,(905) 595-2734,561-McDonald Avenue-Martell-North Dakota-7167,14
47,POSHOME,(927) 420-3989,693-Noel Avenue-Oceola-Virginia-8687,48
48,IMANT,(982) 471-3091,488-Beard Street-Woodburn-California-8442,17
49,PYRAMIS,(923) 590-3971,193-Doone Court-Eagleville-Federated States Of Micronesia-8542,29
50,MENBRAIN,(872) 562-2345,785-Rochester Avenue-Tetherow-New York-4262,21
51,CODAX,(848) 534-2241,120-Llama Court-Oberlin-Pennsylvania-3731,28
52,ACRUEX,(856) 417-2275,201-Colin Place-Cassel-Colorado-9678,24
53,SLAX,(892) 538-2874,253-Bijou Avenue-Cochranville-Louisiana-1550,29
54,EXTRO,(818) 401-3752,197-Brightwater Avenue-Alderpoint-Montana-3805,22
55,STRALUM,(837) 414-2991,523-Lake Avenue-Belvoir-Nevada-4410,43
56,BLURRYBUS,(886) 428-3096,166-Vandervoort Place-Coalmont-Georgia-8727,22
57,PORTICO,(843) 587-2203,187-Gunther Place-Sunriver-Connecticut-3381,34
58,RONELON,(836) 418-3324,459-Moore Place-Clayville-Rhode Island-4106,32
59,OPTICALL,(957) 577-3018,857-Gallatin Place-Ola-District Of Columbia-6716,22
60,QUILTIGEN,(956) 534-2316,705-Banner Avenue-Charco-Puerto Rico-7494,46
61,ACIUM,(996) 417-2665,353-Harway Avenue-Downsville-Washington-2589,47
62,XYQAG,(805) 476-2547,525-Monaco Place-Waikele-South Carolina-1791,13
63,GEEKOSIS,(986) 576-2007,681-Blake Avenue-Concho-Nebraska-6675,45
64,QUORDATE,(999) 536-3861,538-Kings Hwy-Clinton-Alabama-5426,24
65,PIGZART,(911) 401-2556,593-Howard Place-Albany-Delaware-9369,41
66,PLUTORQUE,(970) 523-3030,295-Stryker Court-Garberville-Missouri-3289,21
67,XEREX,(842) 574-3781,295-Throop Avenue-Muse-Oklahoma-6984,32
68,ICOLOGY,(944) 471-3581,974-Exeter Street-Cleary-South Dakota-9188,44
69,NEUROCELL,(945) 477-3151,498-Seeley Street-Naomi-Texas-8209,28
70,EMPIRICA,(829) 517-3443,528-Ridgewood Place-Walland-Virgin Islands-5620,29
71,JAMNATION,(978) 466-2544,983-Oriental Court-Bluetown-Tennessee-3829,33
72,EXOTERIC,(984) 501-3180,755-Gem Street-Bodega-Massachusetts-5932,32
73,PHOLIO,(936) 563-2176,380-Glenwood Road-Blackgum-Marshall Islands-7333,35
74,VINCH,(960) 554-3895,680-Prospect Avenue-Sanborn-West Virginia-8896,34
75,COMVEX,(960) 479-2760,971-Commerce Street-Gadsden-Maryland-3297,33
76,ROTODYNE,(941) 437-3354,112-Krier Place-Osmond-Guam-5344,28
77,ZILLACON,(880) 443-3561,700-Ingraham Street-Rockhill-Arizona-5491,43
78,EVENTIX,(873) 494-2325,406-Dunham Place-Strykersville-Illinois-3586,19
79,BIZMATIC,(991) 446-3960,793-George Street-Loomis-Idaho-7307,12
80,ASSURITY,(832) 421-2576,969-Dean Street-Wells-Vermont-1305,23
81,DYNO,(960) 424-2262,845-Tech Place-Glenshaw-Wisconsin-3574,49
82,QUIZKA,(846) 534-2334,547-Thatford Avenue-Inkerman-Kansas-3585,37
83,OLUCORE,(842) 557-3690,146-Trucklemans Lane-Glenville-New Mexico-4296,42
84,DANCERITY,(899) 498-2931,296-Guernsey Street-Cavalero-Mississippi-5739,35
85,BULLZONE,(930) 558-2352,175-Vanderbilt Avenue-Marenisco-Hawaii-8442,39
86,GEEKNET,(900) 576-2527,744-Canda Avenue-Dennard-Palau-2987,17
87,PHEAST,(837) 433-2078,888-Vandervoort Avenue-Thermal-American Samoa-2840,28
88,OPPORTECH,(875) 443-3585,682-Ashland Place-Ryderwood-Northern Mariana Islands-9637,19
89,JASPER,(850) 572-3884,707-Louisa Street-Northridge-Wyoming-1459,18
90,CALLFLEX,(894) 461-2080,460-Himrod Street-Belmont-Minnesota-4176,10
91,QUONATA,(907) 497-2692,549-Stillwell Place-Guthrie-Florida-7171,35
92,GINKLE,(898) 413-3090,187-Lloyd Court-Franklin-Iowa-6716,27
93,NURALI,(869) 536-3480,365-Quentin Street-Rodman-Michigan-1393,18
94,PUSHCART,(997) 511-3316,762-Cass Place-Echo-Ohio-401,34
95,VERBUS,(810) 538-2946,809-Balfour Place-Siglerville-North Carolina-1201,14
96,ACCRUEX,(874) 421-3897,450-Beaumont Street-Stevens-Maine-6497,25
97,BUGSALL,(808) 479-2098,490-Cyrus Avenue-Jeff-Oregon-6870,14
98,XLEEN,(890) 539-3541,257-Catherine Street-Caledonia-Arkansas-4973,40
99,CALCU,(829) 576-2298,323-Fountain Avenue-Seymour-Kentucky-2623,17
100,ROCKLOGIC,(912) 541-3774,530-Townsend Street-Rew-Alaska-2028,26
